code;url;product_name;brands;stores;traces_fr;nutrition_grade_fr;main_category_fr;energy_100g;fat_100g;saturated-fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g
20089986;http://world-fr.openfoodfacts.org/produit/20089986/biscuits-petit-dejeuner-cereales-chocolat-delices-de-kerloch;Biscuits Petit Déjeuner Céréales & chocolat;Délices de Kerloch;Lidl;Œufs,Fruits à coque,Arachides;d;Petit-déjeuners;1758;15;7;58;28;8;9;1.16
20092924;http://world-fr.openfoodfacts.org/produit/20092924/craquante-saveur-sour-cream-cheese-crusti-croc;Craquante saveur sour cream & cheese;Crusti Croc;Lidl;Céleri,Gluten,Soja;d;Chips et frites;2251;34;2.7;50.5;3.3;;6;1.78
20093273;http://world-fr.openfoodfacts.org/produit/20093273/pur-jus-d-ananas-vitafit;Pur Jus d'Ananas;Vitafit;LIDL;;c;Jus de fruits 100% pur jus;209;0.03;0.01;11.4;11.4;;0.3;0
20093709;http://world-fr.openfoodfacts.org/produit/20093709/galettes-bretonnes-saveurs-de-nos-regions;Galettes Bretonnes;Saveurs de nos régions;LIDL;Fruits à coque,Soja;e;Biscuits;2013;19;13;70;30;2;6;1.26
20095000;http://world-fr.openfoodfacts.org/produit/20095000/craquante-nature-crusti-croc;Craquante nature;Crusti Croc;Lidl;Céleri,Gluten,Lait,Soja;c;Chips et frites;2259;34;2.7;50.5;0.5;4;6;1.5
2,01E+12;http://world-fr.openfoodfacts.org/produit/2010000004951/pains-chocolat-x-5-match;Pains chocolat (x 5) - Match;Match;Match;Céleri,Crustacés,Œufs,Poisson,Gluten,Lupin,Lait,Mollusques,Moutarde,Fruits à coque,Arachides,Graines de sésame,Soja,Anhydride sulfureux et sulfites;;Petit-déjeuners;;;;;;;;
20101791;http://world-fr.openfoodfacts.org/produit/20101791/muesli-croustillant-crownfield;Muesli croustillant;Crownfield;;;;Petit-déjeuners;;;;;;;;
20103767;http://world-fr.openfoodfacts.org/produit/20103767/beignets-de-crevettes-crusti-croc;Beignets de crevettes;Crusti Croc,Vitasia;Lidl;;e;Chips et frites;2377;30.4;3;53.5;6.3;0;1.7;2.19
20108401;http://world-fr.openfoodfacts.org/produit/20108401/bio-muesli-croustillant-crownfield;Bio muesli croustillant ;Crownfield;;Fruits à coque,Arachides,Graines de sésame,Soja;d;Petit-déjeuners;1820;15.3;5.9;60.1;26.4;8.6;9.6;0.44
20108405;http://world-fr.openfoodfacts.org/produit/20108405/crownfield;;Crownfield;;;;Petit-déjeuners;;;;;;;;
20108656;http://world-fr.openfoodfacts.org/produit/20108656/jus-de-pomme-vitafit;Jus de Pomme;Vitafit,Lidl;Lidl;;c;Jus de fruits à base de concentré;188;0.1;0;10.5;10;0;0.1;0
20108663;http://world-fr.openfoodfacts.org/produit/20108663/jus-d-orange-a-base-de-concentre-vitafit;Jus d'orange à base de concentré;Vitafit;Lidl;;c;Jus d'orange à base de concentré;186;0.2;0.1;9;9;;0.7;0.01
20113690;http://world-fr.openfoodfacts.org/produit/20113690/orange;Orange;;;;;Jus d'orange 100% pur jus;;;;;;;;
20113773;http://world-fr.openfoodfacts.org/produit/20113773/special-flakes-riz-et-ble-crownfield;Special Flakes Riz et Blé;Crownfield,Lidl;Lidl;;a;Petit-déjeuners;1605;1;0.4;78.6;10.9;3;12.2;0.6858
20127541;http://world-fr.openfoodfacts.org/produit/20127541/petit-beurre-au-chocolat-noir-delicia;Petit Beurre au Chocolat Noir;Delicia;Norma;Œufs,Fruits à coque;e;Biscuits;2035;22.1;13.8;63.5;37;4.1;6.2;0.65024
20129125;http://world-fr.openfoodfacts.org/produit/20129125/fortune-cookies-vitasia;Fortune cookies;Vitasia;Lidl;;;Biscuits;1695;4.6;;83.1;;;6.6;
2,01E+12;http://world-fr.openfoodfacts.org/produit/2013127711818/special-k-nature-kellogg-s;Spécial K Nature;Kellogg's;Amazon Pantry;Gluten,Lait;c;Petit-déjeuners;1588;1.5;0.3;79;15;4.5;9;1
20132170;http://world-fr.openfoodfacts.org/produit/20132170/speculoos-sondey;Spéculoos;Sondey,Belgix;Lidl;Lait,Soja;e;Biscuits;2025;18;8.6;74;34;1.7;5.7;0.85
20133849;http://world-fr.openfoodfacts.org/produit/20133849/banana-chocolate-puffs-crownfield;Banana Chocolate Puffs;Crownfield;Lidl;Fruits à coque,Arachides;d;Petit-déjeuners;1806;10.5;7.5;75;37.5;4;6.5;0.1524
20133856;http://world-fr.openfoodfacts.org/produit/20133856/honey-chocolate-puffs-crownfield;Honey Chocolate Puffs;Crownfield;Lidl;Fruits à coque,Arachides;d;Petit-déjeuners;1765;7.9;3.9;76.3;36.2;4.5;8.2;0.0762
20134075;http://world-fr.openfoodfacts.org/produit/20134075/pur-jus-de-grenade-bio-bio-sonne;Pur Jus De Grenade Bio;Bio Sonne;;;d;Jus de fruits 100% pur jus;251;;0;;13;0;0.7;0.0299999999999999
20136307;http://world-fr.openfoodfacts.org/produit/20136307/brasilia-catago;Brasilia;Catago;;Arachides,Graines de sésame;e;Biscuits;2253;31;21;58.1;55.6;;5.4;0.14
20143824;http://world-fr.openfoodfacts.org/produit/20143824/biscino-chocolat-noir-sondey;Biscino Chocolat Noir;Sondey;Lidl;;e;Biscuits;2054;23.3;14.8;60.5;30.9;;6.9;0.38
20151140;http://world-fr.openfoodfacts.org/produit/20151140/tortilla-chips-sweet-sour-vitasia;Tortilla chips sweet&sour;Vitasia,Vitasia China;Lidl;Gluten,Lait;d;Chips et frites;1979;20;2;64.4;1.5;;6.6;1.3
20151553;http://world-fr.openfoodfacts.org/produit/20151553/muesli-bio-croustillant-a-la-noix-de-coco-et-au-miel-bio-sonne;Muesli Bio Croustillant à la Noix de Coco et au Miel;Bio Sonne;;;d;Petit-déjeuners;1837;;6.1;;22.7;7.4;8.5;0.18
20151591;http://world-fr.openfoodfacts.org/produit/20151591/muesli-bio-aux-fruits-seches-bio-sonne;Muesli bio aux fruits séchés;Bio Sonne;Norma;;a;Petit-déjeuners;1510;7;2.9;61;16.1;9.1;8.3;0.04
20159917;http://world-fr.openfoodfacts.org/produit/20159917/corn-flakes-crownfield;Corn Flakes;Crownfield;Lidl;Lait,Fruits à coque,Arachides;a;Petit-déjeuners;1579;0.3;0.1;81.5;6;4.7;8.5;0.979999999999999
20166168;http://world-fr.openfoodfacts.org/produit/20166168/le-sfoglie-puff-pasty-italiamo;Le Sfoglie, Puff Pasty;Italiamo;Lidl;Gluten,Autres-cereales;e;Biscuits;2238;29.8;14.3;54.9;18.8;;6.7;0.77
20169329;http://world-fr.openfoodfacts.org/produit/20169329/nut-clusters-crownfield;Nut Clusters;Crownfield;Lidl;Lait,Fruits à coque,Arachides;c;Petit-déjeuners;1699;9.3;1.8;64.4;20.9;10.8;10.8;0.58
20169729;http://world-fr.openfoodfacts.org/produit/20169729/nut-clusters-crownfield;Nut Clusters;Crownfield;Lidl;Lait,Fruits à coque,Arachides;c;Petit-déjeuners;1699;9.3;1.8;64.4;20.9;10.8;10.8;0.58
20173234;http://world-fr.openfoodfacts.org/produit/20173234/fish-soup-with-norwegian-lobster-duc-de-coeur;Fish soup with Norwegian lobster;Duc De Coeur;Lidl;;b;Soupes;150;1.1;0.3;0.5;0.5;1.3;5.3;1
2,02E+12;http://world-fr.openfoodfacts.org/produit/2017427870107/cranberry-carrefour-bio;Cranberry;Carrefour bio;carrefour;;b;Jus de fruits;146;0;0;8.1;7.9;;0.5;0.01
20177234;http://world-fr.openfoodfacts.org/produit/20177234/soupe-de-poissons-et-langoustines-saveurs-de-nos-regions;Soupe de poissons et langoustines;Saveurs de nos régions;;;b;Soupes;124;1.1;0.4;0.5;0.5;;4.9;0.87
20178833;http://world-fr.openfoodfacts.org/produit/20178833/corn-flakes-golden-breakfast;Corn flakes;Golden breakfast;;;c;Petit-déjeuners;1588;0.8;0.2;83;5.9;2.7;7.4;1.8
2,02E+12;http://world-fr.openfoodfacts.org/produit/2018840888823/pur-jus-de-citron-jardin-bio;Pur jus de citron;Jardin Bio,Léa Nature;;;;Jus de fruits 100% pur jus;;;;;;;;
20190736;http://world-fr.openfoodfacts.org/produit/20190736/melange-de-jus-de-fruits-vitafit;Mélange de jus de fruits;Vitafit;LIDL;;c;Jus de fruits à base de concentré;192;0.03;0.01;10.3;9.9;0.3;0.3;0
20195984;http://world-fr.openfoodfacts.org/produit/20195984/muesli-bio-aux-4-fruits-rouges-bio-sonne;Muesli bio aux 4 fruits rouges;Bio Sonne;Norma;;a;Petit-déjeuners;1467;3.7;0.7;65.2;18.1;8.1;9.2;0.06
20197273;http://world-fr.openfoodfacts.org/produit/20197273/ananas-100-pur-jus-solevita;Ananas 100% pur jus;Solevita;;;d;Jus de fruits 100% pur jus;216;0.1;0.1;11.5;11.5;;0.4;0.01
20201401;http://world-fr.openfoodfacts.org/produit/20201401/muesli-bio-bio-sonne;Muesli bio;Bio sonne;;;c;Petit-déjeuners;1855;19;6.5;54;22;9.5;9.3;0.22
20201456;http://world-fr.openfoodfacts.org/produit/20201456/solevita-100-pur-jus;Solevita 100% Pur jus;Solevita;Lidl;;c;Jus d'orange 100% pur jus;180;0.2;0.1;9;9;0.7;0.7;0
20201797;http://world-fr.openfoodfacts.org/produit/20201797/muesli-croustillant-aux-fruits-crownfields;Muesli croustillant aux fruits;Crownfields;;;;Petit-déjeuners;;;;;;;;
20201817;http://world-fr.openfoodfacts.org/produit/20201817/muesli-croustillant-au-eclat-de-choco-crownfield;Muesli croustillant au eclat de choco;Crownfield;;Lupin,Fruits à coque,Graines de sésame,Soja;;Petit-déjeuners;;;;;;;;
20202972;http://world-fr.openfoodfacts.org/produit/20202972/zwiebelsuppe-kania;Zwiebelsuppe;Kania;;;;Soupes;;;;;;;;
20202996;http://world-fr.openfoodfacts.org/produit/20202996/champignoncreme-suppe-kania;Champignoncreme-suppe;Kania;;;;Soupes;;;;;;;;
20205546;http://world-fr.openfoodfacts.org/produit/20205546/jus-multivitamine-vitafit;Jus multivitaminé;Vitafit;Lidl;;d;Jus de fruits;230;;0.01;;11.8;0;0.5;0.0299999999999999
20206642;http://world-fr.openfoodfacts.org/produit/20206642/special-flakes-chocolate-crownfield;Special Flakes Chocolate;Crownfield;Lidl;Fruits à coque,Arachides;c;Petit-déjeuners;1716;6.7;3.8;73;16.5;4;11.5;0.5588
20208622;http://world-fr.openfoodfacts.org/produit/20208622/smoothie-peche-raisin-framboises-chef-select-to-go;Smoothie Pêche, Raisin, & Framboises;Chef Select TO GO;Lidll;;c;Jus de fruits;212;0.2;0.1;10.5;10.3;;0.6;0.01
20208639;http://world-fr.openfoodfacts.org/produit/20208639/smoothie-pomme-banane-mangue-chef-select-to-go;Smoothie pomme, banane, mangue;Chef select to go;Lidll;;c;Jus de fruits;234;0.1;0.1;12.3;11.9;1;0.6;0
20208887;http://world-fr.openfoodfacts.org/produit/20208887/tortilla-cheese-crousti-croc;Tortilla cheese;Crousti croc;;Gluten;d;Chips et frites;1979;20;2;64.4;1.5;;6.6;1.6
20210090;http://world-fr.openfoodfacts.org/produit/20210090/pur-jus-de-pamplemousse-vitafit;Pur jus de pamplemousse;Vitafit;LIDL;;c;Jus de pamplemousse;163;0.1;0.02;7.6;7.6;0;0.6;0.01
20211141;http://world-fr.openfoodfacts.org/produit/20211141/captain-rondo-choco-duo-sondey;Captain Rondo Choco Duo;sondey;;Œufs,Fruits à coque,Soja,Anhydride sulfureux et sulfites;e;Biscuits;2067;21;14;67;34;;7;0.53
20212223;http://world-fr.openfoodfacts.org/produit/20212223/biscuits-pour-le-petit-dejeuner-au-muesli-et-aux-fruits-sondey;Biscuits pour le petit déjeuner au muesli et aux fruits;Sondey;Lidl;Œufs,Fruits à coque,Arachides,Soja;d;Petit-déjeuners;1816;16;6.5;65;26;4;7;0.762
20213671;http://world-fr.openfoodfacts.org/produit/20213671/barquettes-fraise-sondey;Barquettes fraise;Sondey,Lidl;Lidl;Lait,Fruits à coque;d;Biscuits;1464;2.1;0.5;78;60;;4.2;0.08
20216702;http://world-fr.openfoodfacts.org/produit/20216702/sfogliatine-glassate-italiamo;Sfogliatine Glassate;Italiamo;Lidl;Fruits à coque;e;Biscuits;2204;30;14.1;56.5;19.1;;6.7;0.7
2,02E+12;http://world-fr.openfoodfacts.org/produit/2022048299992/salted-ridged-chips-hema;Salted Ridged Chips;Hema;Hema;Céleri,Gluten,Lait,Moutarde,Soja;c;Chips et frites;2293;34.6;3.5;51.4;0.5;3.9;5.7;1.4
20221478;http://world-fr.openfoodfacts.org/produit/20221478/pur-jus-de-4-agrumes-vitafit;Pur jus de 4 agrumes Vitafit;Vitafit;Lidl,LIDL;;c;Jus de fruits 100% pur jus;185;0.5;0.1;9;9;0.3;0.7;0.01
20241058;http://world-fr.openfoodfacts.org/produit/20241058/veloute-de-potiron-toque-du-chef;Velouté de Potiron;Toque du Chef,Lidl;Lidl;;;Soupes;;;;;;;;
20243319;http://world-fr.openfoodfacts.org/produit/20243319/chips-salees-crusti-croc;Chips salées;Crusti croc;Lidl;Céleri,Œufs,Gluten,Lait,Moutarde,Soja,en:Arachides;d;Chips et frites;2192;34;2.8;49.6;0.6;;5.9;1.3
20243326;http://world-fr.openfoodfacts.org/produit/20243326/chips-a-l-ancienne-crusti-croc;Chips à l'ancienne;crusti croc;;Gluten,Lait,Moutarde,Arachides,Soja;d;Chips et frites;2300;39;2.7;43;0.6;;5.4;1.3
20243726;http://world-fr.openfoodfacts.org/produit/20243726/chips-a-l-ancienne-nature-crusti-croc;Chips à l'ancienne nature;Crusti Croc;Lidl;Gluten,Lait,Moutarde,Arachides,Soja,Cereales;d;Chips et frites;2300;39;2.7;43;0.6;;5.4;1.30048
20245121;http://world-fr.openfoodfacts.org/produit/20245121/muesli-croustillant-au-sirop-d-erable-et-aux-noix-de-pecan-crownfield;Muesli Croustillant au sirop d'érable et aux noix de pécan;Crownfield;;;;Petit-déjeuners;;;;;;;;
20245900;http://world-fr.openfoodfacts.org/produit/20245900/jus-d-orange-sans-pulpe-sans-marque;Jus d'Orange sans pulpe;Sans marque;Lidl;;c;Jus d'orange 100% pur jus;176;0.06;0.02;9;9;0.7;0.7;0.02
20250461;http://world-fr.openfoodfacts.org/produit/20250461/jus-multivitamine-solevita;Jus multivitaminé;Solevita,Vitafit,Lidl;LIDL;;d;Jus de fruits à base de concentré;234;0.1;0.01;12.2;11.7;;0.4;0.02
20254162;http://world-fr.openfoodfacts.org/produit/20254162/jus-d-orange-sanguine-vitafit;Jus d'orange sanguine;Vitafit;;;c;Jus d'orange 100% pur jus;188;;0.1;;9.8;0.1;0.6;0
